predicted_vt,actual_vt,predicted_pitch,actual_pitch,predicted_roll,actual_roll,predicted_hding,actual_hding,predicted_lat,actual_lat,predicted_lon,actual_lon,predicted_alt,actual_alt,predicted_x,actual_x,predicted_y,actual_y,predicted_z,actual_z,predicted_vx,actual_vx,predicted_vy,actual_vy,predicted_vz,actual_vz
96.40432107019896,169.08509996581842,-5.608419988236486,-25.940931009855824,-9.6340245083553,-4.176649871525645,125.3815502379458,244.0001238005067,45.621075099464385,45.45840000063079,-122.62380699396043,-122.35837998773988,2106.89121692187,4099.710938988972,29386.26787493236,-28036.20470756161,611.0403422771192,1185.515001399272,-14666.852218552676,4561.967835035011,-26.979609183364506,-76.21235037747589,-19.663579303106193,-37.52756929790106,-22.51994681021725,41.64801816928251
96.46889936545303,169.4039778882563,-5.580781943300533,-25.933430213759905,-9.69848290668071,-4.452039927889025,126.44636624496543,244.0675386487169,45.62099116194265,45.458360009298104,-122.62386038908637,-122.35846998952461,2103.7871045292213,4088.218785263653,29382.52846554475,-28043.38911925226,610.0263170432328,1181.9776646931205,-14656.482914290722,4565.891791422826,-27.25000927995307,-76.37825073174673,-19.641638079649372,-37.60534900163329,-22.458286369284018,41.680112845860165
96.53225294118965,169.69722044771532,-5.551229469235494,-25.92553886017317,-9.760076356894096,-4.70231972928203,127.4977700422028,244.11234153072192,45.62090620222583,45.458330010332304,-122.62391631932405,-122.35855999130933,2100.735005988754,4077.48777834416,29378.60354124517,-28050.098964299123,609.0207105190271,1178.6745732178033,-14645.973794740294,4569.550418253399,-27.515724273590646,-76.53111295022894,-19.617314381104293,-37.67467154248678,-22.39682784411721,41.71249219056753
96.59301414147473,169.9752701883997,-5.518999758442124,-25.917511508888737,-9.816754443447856,-4.938069983295767,128.53370218635655,244.1414485892887,45.62082000166258,45.45829998950138,-122.6239765007491,-122.35864000865404,2097.794850304066,4067.1960623284112,29374.35345091189,-28056.531978803778,608.0417433679472,1175.5065865309891,-14635.252746248787,4573.055689468321,-27.774214094204833,-76.6752194651107,-19.58970854246707,-37.73809090880874,-22.335605990709407,41.746222053843766
96.64993494878456,170.2632587326127,-5.48398558196647,-25.90862981309315,-9.867296541173404,-5.177249724561995,129.54545317182283,244.16063757164414,45.62073306315101,45.45826999053558,-122.62404121523754,-122.35873001043876,2095.016551389209,4056.6342619622083,29369.744689261024,-28063.14075873206,607.1041065961218,1172.255485953984,-14624.35491281146,4576.651026679734,-28.022135238589872,-76.82166185209509,-19.558561734637802,-37.800930248473094,-22.275056086491503,41.78449998700631
96.70266148529458,170.55325216471442,-5.4468285699720145,-25.898708955402363,-9.911629882031848,-5.416330290033277,130.52029986899643,244.1735107979216,45.62064680245863,45.45822999920289,-122.62410940265177,-122.35880999941857,2092.435081290756,4046.0515429815414,29364.846326611387,-28069.758326931526,606.2183772509824,1168.9979222882434,-14613.463164914436,4580.251232323393,-28.257001071656106,-76.96609661044225,-19.524519471154807,-37.861268612979345,-22.216056961561616,41.82678975474107
96.75178312759517,170.97230899529933,-5.40782948659789,-25.881698781829186,-9.950543177670577,-5.765980130090157,131.45882219683818,244.19018907230532,45.62056145190252,45.45819000787021,-122.62418039641696,-122.35893001125316,2090.0371134782577,4030.659400311726,29359.712603074182,-28079.394666281736,605.3769117165159,1164.2600012646988,-14602.631968143432,4585.482362768442,-28.479836400036795,-77.17292816149221,-19.487974673302265,-37.94497955704911,-22.158592065447092,41.89528885097643
96.79711097293303,171.26566741511374,-5.367085099436684,-25.867241180428124,-9.984219521864878,-6.018329712718539,132.36175309494232,244.2053234952033,45.620476855693575,45.45814999467239,-122.62425459895994,-122.35902001303789,2087.8364590832716,4019.6496669886988,29354.32278382208,-28086.289065023408,604.5818802549911,1160.8709817129516,-14591.858584005317,4589.223752947146,-28.69062595659402,-77.31807284175292,-19.44906611089881,-38.001641300967584,-22.102447897050645,41.94876011803866
96.84293752153968,171.55849186981203,-5.324195261416339,-25.851078377125205,-10.017501510235483,-6.26885011811112,133.2515047255023,244.2254637395853,45.620390062038524,45.458119995706596,-122.6243312922945,-122.35910998645772,2085.670453667456,4008.834016409135,29348.765438150593,-28093.06482210413,603.7654562082437,1157.541751694263,-14580.964554030677,4592.89941929057,-28.899461319496737,-77.45904959335988,-19.407742329966737,-38.05501934558248,-22.046121673454966,42.00499862412926
96.88402575941691,171.8863162266477,-5.279159972536849,-25.830190525607506,-10.044820040450746,-6.559850092495767,134.10660839112145,244.25623160808374,45.62030383687699,45.45808000437391,-122.62441384120531,-122.35921000104737,2083.736006814066,3996.398667395357,29342.755359196533,-28100.85562450629,603.0184924786215,1153.713862183463,-14569.979849505515,4597.125218477446,-29.0952299207272,-77.61840034546056,-19.363668100045338,-38.11304072188117,-21.991121142719162,42.07288866297081
96.92062503819913,172.22141459883835,-5.2321021537942105,-25.806659436785907,-10.066842935319245,-6.8518201117860205,134.9311040314516,244.29251211799834,45.62021739579725,45.45803999117609,-122.62450040197474,-122.35930998727213,2081.977793230022,3983.9448227726507,29336.42533224478,-28108.668397586396,602.3127160340381,1149.8802489040418,-14558.909034585055,4601.355886096568,-29.27942412301766,-77.77578927033777,-19.31687304615207,-38.167840767334084,-21.936986201703352,42.14365186386574
96.95411119960644,172.38880762532426,-5.182960780580483,-25.79386170472081,-10.085511458330243,-6.9972799005052435,135.73081422779055,244.31092917461092,45.62012992158986,45.45802000644232,-122.62459060763209,-122.35935999456696,2080.3446067316545,3977.7116410303283,29329.826576438314,-28112.57917826204,601.6264719498755,1147.9614270207956,-14547.704946331945,4603.4760883383715,-29.454854988138695,-77.85378144443177,-19.26738991172728,-38.19390142742911,-21.883228611464133,42.180069523901565
96.98542309032291,172.55607975404803,-5.132198768135897,-25.780519981864934,-10.101425358965608,-7.142510235166335,136.50896410928362,244.32905773372366,45.620042359921925,45.45799999984341,-122.62468368346138,-122.35941000186178,2078.8111672945347,3971.474097878041,29323.013881155282,-28116.49435307328,600.9609646024479,1146.0413888367173,-14536.433917135493,4605.596290580172,-29.62344045029225,-77.93130797081906,-19.215818993177376,-38.21908892911483,-21.830116489658565,42.217301467192144
